community,adi_author,titles_papers
156,72573,CT-NOR: Representing and Reasoning About Events in Continuous Time;Sequential Update of Bayesian Network Structure;On the Relation between Kappa Calculus and Probabilistic Reasoning;Action Networks: A Framework for Reasoning about Actions and Change under Uncertainty;Reasoning With Qualitative Probabilities Can Be Tractable;Making life better one large system at a time: Challenges for UAI research
156,31168,Convergent message passing algorithms - a unifying view;Tightening LP Relaxations for MAP using Message Passing;Convergent Propagation Algorithms via Oriented Trees;Discriminative Learning via Semidefinite Probabilistic Models;What Cannot be Learned with Bethe Approximations;Learning the Experts for Online Sequence Prediction;Convexifying the Bethe Free Energy
156,58541,The Factored Frontier Algorithm for Approximate Inference in DBNs;Latent Topic Models for Hypertext;MAP Estimation, Linear Programming and Belief Propagation with Convex Free Energies;Tightening LP Relaxations for MAP using Message Passing;Convergent message passing algorithms - a unifying view
156,46317,Modeling Events with Cascades of Poisson Processes;CT-NOR: Representing and Reasoning About Events in Continuous Time
156,72574,CT-NOR: Representing and Reasoning About Events in Continuous Time
156,72575,CT-NOR: Representing and Reasoning About Events in Continuous Time
156,72576,CT-NOR: Representing and Reasoning About Events in Continuous Time
256,101901,Using ROBDDs for Inference in Bayesian Networks with Troubleshooting as an Example;A computational scheme for Reasoning in Dynamic Probabilistic Networks;Making Sensitivity Analysis Computationally Efficient;Nested Junction Trees;Reduction of Computational Complexity in Bayesian Networks through Removal of Weak Dependencies
256,72561,Sensitivity Analysis for Threshold Decision Making with Dynamic Networks;Pivotal Pruning of Trade-offs in QPNs;Enhancing QPNs for Trade-off Resolution;Computing Probability Intervals Under Independency Constraints;How to Elicit Many Probabilities;The Computational Complexity of Sensitivity Analysis and Parameter Tuning;Learning Bayesian Network Parameters with Prior Knowledge about Context-Specific Qualitative Influences;Pre-processing for Triangulation of Probabilistic Networks;Making Sensitivity Analysis Computationally Efficient;Analysing Sensitivity Data from Probabilistic Networks
256,46287,aHUGIN: A System Creating Adaptive Causal Probabilistic Networks;Inference in Multiply Sectioned Bayesian Networks with Extended Shafer-Shenoy and Lazy Propagation;Myopic Value of Information in Influence Diagrams;Using ROBDDs for Inference in Bayesian Networks with Troubleshooting as an Example;Representing and Solving Asymmetric Bayesian Decision Problems;Welldefined Decision Scenarios;Analysis in HUGIN of Data Conflict;Optimal Junction Trees;The Cost of Troubleshooting Cost Clusters with Inside Information;From Influence Diagrams to Junction Trees
256,78621,aHUGIN: A System Creating Adaptive Causal Probabilistic Networks;Evaluating Influence Diagrams using LIMIDs;MAIES: A Tool for DNA Mixture Analysis
256,100259,Enhancing QPNs for Trade-off Resolution;Pivotal Pruning of Trade-offs in QPNs;Analysing Sensitivity Data from Probabilistic Networks;How to Elicit Many Probabilities
256,101534,On reasoning in networks with qualitative uncertainty;Re-entrant Structural Phase Transition in a Frustrated Kagome Magnet, Rb2SnCu3F12;Pivotal Pruning of Trade-offs in QPNs;Risk Agoras: Dialectical Argumentation for Scientific Reasoning;Local structure correlations in plastic cyclohexane - a Reverse Monte Carlo study
256,105255,Optimal Junction Trees;Analysis in HUGIN of Data Conflict;Approximations in Bayesian Belief Universe for Knowledge Based Systems;From Influence Diagrams to Junction Trees
256,72593,MAIES: A Tool for DNA Mixture Analysis;Conditions Under Which Conditional Independence and Scoring Methods Lead to Identical Selection of Bayesian Network Models;Propagation using Chain Event Graphs
256,103911,How to Elicit Many Probabilities
256,103912,How to Elicit Many Probabilities
