community,adi_author,titles_papers
134,31089,Extended Lifted Inference with Joint Formulas;Generic Preferences over Subsets of Structured Objects;UCP-Networks: A Directed Graphical Representation of Conditional Utilities;A Heuristic Search Approach to Planning with Continuous Resources in Stochastic Domains
134,31112,A temporally abstracted Viterbi algorithm
134,31113,A compact, hierarchical Q-function decomposition;Gibbs Sampling in Open-Universe Stochastic Languages;Variational MCMC;Rao-Blackwellised Particle Filtering for Dynamic Bayesian Networks;A temporally abstracted Viterbi algorithm;Fine-Grained Decision-Theoretic Search Control;Selecting Computations: Theory and Applications;Improving Gradient Estimation by Incorporating Sensor Data;Image Segmentation in Video Sequences: A Probabilistic Approach;RAPID: A Reachable Anytime Planner for Imprecisely-sensed Domains;General-Purpose MCMC Inference over Relational Structures
134,31164,Suboptimality Bounds for Stochastic Shortest Path Problems;Policy Iteration for Decentralized Control of Markov Decision Processes;A Heuristic Search Approach to Planning with Continuous Resources in Stochastic Domains;Improving the Scalability of Optimal Bayesian Network Learning with External-Memory Frontier Breadth-First Branch and Bound Search;Solving Multistage Influence Diagrams using Branch-and-Bound Search;Sparse Stochastic Finite-State Controllers for POMDPs
134,31190,Message-Passing Algorithms for Quadratic Programming Formulations of MAP Estimation;Anytime Planning for Decentralized POMDPs using Expectation Maximization;On model reduction for quantum dynamics: symmetries and invariant subspaces
134,31191,A Bilinear Programming Approach for Multiagent Planning;Policy Iteration for Decentralized Control of Markov Decision Processes;The Complexity of Decentralized Control of Markov Decision Processes;Optimizing Memory-Bounded Controllers for Decentralized POMDPs;Rollout Sampling Policy Iteration for Decentralized POMDPs;Anytime Planning for Decentralized POMDPs using Expectation Maximization;Message-Passing Algorithms for Quadratic Programming Formulations of MAP Estimation
134,31202,Improving the Scalability of Optimal Bayesian Network Learning with External-Memory Frontier Breadth-First Branch and Bound Search
134,31203,Improving the Scalability of Optimal Bayesian Network Learning with External-Memory Frontier Breadth-First Branch and Bound Search;Most Relevant Explanation: Properties, Algorithms, and Evaluations;Solving Multistage Influence Diagrams using Branch-and-Bound Search;Importance Sampling in Bayesian Networks: An Influence-Based Approximation Strategy for Importance Functions
134,31204,Improving the Scalability of Optimal Bayesian Network Learning with External-Memory Frontier Breadth-First Branch and Bound Search
134,46210,Gibbs Sampling in Open-Universe Stochastic Languages
134,46211,Gibbs Sampling in Open-Universe Stochastic Languages
134,46212,Joint modeling of multiple time series via the beta process with application to motion capture segmentation;Gibbs Sampling in Open-Universe Stochastic Languages
134,46344,Rollout Sampling Policy Iteration for Decentralized POMDPs
134,46352,Solving Multistage Influence Diagrams using Branch-and-Bound Search
134,58499,Most Relevant Explanation: Properties, Algorithms, and Evaluations
134,58500,Causal Mechanism-based Model Construction;Most Relevant Explanation: Properties, Algorithms, and Evaluations
134,58501,Most Relevant Explanation: Properties, Algorithms, and Evaluations
134,62264,Methods for Ordinal Peer Grading;Online Structured Prediction via Coactive Learning;Reducing Dueling Bandits to Cardinal Bandits;Learning Trajectory Preferences for Manipulators via Iterative Improvement;Unstructuring User Preferences: Efficient Non-Parametric Utility Revelation
134,72565,Improving Gradient Estimation by Incorporating Sensor Data
134,72579,Observation Subset Selection as Local Compilation of Performance Profiles
134,72580,Algorithms for Irrelevance-Based Partial MAPs;Relevant Explanations: Allowing Disjunctive Assignments;Complexity of Canadian Traveler Problem Variants;Belief Updating by Enumerating High-Probability Independence-Based Assignments;Generic Preferences over Subsets of Structured Objects;Selecting Computations: Theory and Applications;Bayes Networks for Sonar Sensor Fusion;A New Algorithm for Finding MAP Assignments to Belief Networks;MCTS Based on Simple Regret;Observation Subset Selection as Local Compilation of Performance Profiles;VOI-aware MCTS;Cost-Sharing in Bayesian Knowledge Bases
134,72744,Simple Regret Optimization in Online Planning for Markov Decision Processes
134,75921,Optimizing Memory-Bounded Controllers for Decentralized POMDPs;Incremental Clustering and Expansion for Faster Optimal Planning in Dec-POMDPs;Scalable Planning and Learning for Multiagent POMDPs: Extended Version;Policy Iteration for Decentralized Control of Markov Decision Processes
134,75922,Optimizing Memory-Bounded Controllers for Decentralized POMDPs;The Complexity of Decentralized Control of Markov Decision Processes
134,88293,Selecting Computations: Theory and Applications
134,101884,The Complexity of Decentralized Control of Markov Decision Processes
134,105243,IDEAL: A Software Package for Analysis of Influence Diagrams;Integrating Model Construction and Evaluation;Decision-Theoretic Control of Problem Solving: Principles and Architecture;Decision Making with Interval Influence Diagrams;Ideal Reformulation of Belief Networks;A New Look at Causal Independence
134,105244,Computationally-Optimal Real-Resource Strategies
134,105267,A Probabilistic Approach to Hierarchical Model-based Diagnosis;IDEAL: A Software Package for Analysis of Influence Diagrams;A Generalization of the Noisy-Or Model
134,105245,Decision-Theoretic Control of Problem Solving: Principles and Architecture;Computationally-Optimal Real-Resource Strategies;Probabilistic Conceptual Network: A Belief Representation Scheme for Utility-Based Categorization;A Structured, Probabilistic Representation of Action;Decision Methods for Adaptive Task-Sharing in Associate Systems
134,105246,Integrating Model Construction and Evaluation;Epsilon-Safe Planning;Dynamic Construction of Belief Networks
134,105247,Dynamic Construction of Belief Networks;A New Algorithm for Finding MAP Assignments to Belief Networks;A Probabilistic Analysis of Marker-Passing Techniques for Plan-Recognition
134,105252,Decision Making with Interval Influence Diagrams
134,135483,Bayes Networks for Sonar Sensor Fusion
134,135521,On the Generation of Alternative Explanations with Implications for Belief Revision;Cost-Sharing in Bayesian Knowledge Bases
134,140326,A Structured, Probabilistic Representation of Action
134,140337,Epsilon-Safe Planning
134,140363,Belief Updating by Enumerating High-Probability Independence-Based Assignments
134,146684,Decision Methods for Adaptive Task-Sharing in Associate Systems
134,147031,A Probabilistic Analysis of Marker-Passing Techniques for Plan-Recognition
134,155465,Incremental Clustering and Expansion for Faster Optimal Planning in Dec-POMDPs
134,155466,Incremental Clustering and Expansion for Faster Optimal Planning in Dec-POMDPs
134,155467,A Survey of Multi-Objective Sequential Decision-Making;Incremental Clustering and Expansion for Faster Optimal Planning in Dec-POMDPs
134,155489,Online Speedup Learning for Optimal Planning;Wikipedia-based Semantic Interpretation for Natural Language Processing;Anytime Induction of Low-cost, Low-error Classifiers: a Sampling-based Approach;Learning to Predict from Textual Data
134,155523,A Survey of Multi-Objective Sequential Decision-Making
134,155524,A Survey of Multi-Objective Sequential Decision-Making
134,155525,A Survey of Multi-Objective Sequential Decision-Making
134,164855,A Heuristic Search Approach to Planning with Continuous Resources in Stochastic Domains
134,164856,A Heuristic Search Approach to Planning with Continuous Resources in Stochastic Domains
134,164857,A Heuristic Search Approach to Planning with Continuous Resources in Stochastic Domains
134,164914,Generic Preferences over Subsets of Structured Objects
134,164915,Policy Iteration for Decentralized Control of Markov Decision Processes
134,164916,A Bilinear Programming Approach for Multiagent Planning
134,167103,Online Speedup Learning for Optimal Planning
134,176112,Scalable Planning and Learning for Multiagent POMDPs: Extended Version
145,75002,A Generalized Loop Correction Method for Approximate Inference in Graphical Models
145,100258,Bayesian Error-Bars for Belief Net Inference
145,100311,Planning by Prioritized Sweeping with Small Backups
145,31136,PAC-Bayesian Policy Evaluation for Reinforcement Learning;Online Learning under Delayed Feedback;Online Learning in Markov Decision Processes with Adversarially Chosen Transition Probability Distributions;A Randomized Mirror Descent Algorithm for Large Scale Multiple Kernel Learning;Statistical Linear Estimation with Penalized Estimators: an Application to Reinforcement Learning;Analysis of Kernel Mean Matching under Covariate Shift;Apprenticeship Learning using Inverse Reinforcement Learning and Gradient Methods;An Adaptive Algorithm for Finite Stochastic Partial Monitoring;Dyna-Style Planning with Linear Function Approximation and Prioritized Sweeping;Speeding Up Planning in Markov Decision Processes via Automatically Constructed Abstractions
145,58563,Bayesian Error-Bars for Belief Net Inference;Improved Mean and Variance Approximations for Belief Net Responses via Network Doubling
145,58564,Improved Mean and Variance Approximations for Belief Net Responses via Network Doubling;Online Learning in Markov Decision Processes with Adversarially Chosen Transition Probability Distributions;Linear Programming for Large-Scale Markov Decision Problems
145,58565,Speeding Up Planning in Markov Decision Processes via Automatically Constructed Abstractions;Improved Mean and Variance Approximations for Belief Net Responses via Network Doubling;Learning Bayesian Nets that Perform Well;Bayesian Error-Bars for Belief Net Inference;A Generalized Loop Correction Method for Approximate Inference in Graphical Models;Training Restricted Boltzmann Machine by Perturbation
145,58566,Improved Mean and Variance Approximations for Belief Net Responses via Network Doubling
145,63480,Planning by Prioritized Sweeping with Small Backups;Dyna-Style Planning with Linear Function Approximation and Prioritized Sweeping;Off-Policy Actor-Critic
145,72512,Speeding Up Planning in Markov Decision Processes via Automatically Constructed Abstractions
145,72513,Speeding Up Planning in Markov Decision Processes via Automatically Constructed Abstractions
145,72582,Dyna-Style Planning with Linear Function Approximation and Prioritized Sweeping
145,72583,Bayes' Bluff: Opponent Modelling in Poker;Dyna-Style Planning with Linear Function Approximation and Prioritized Sweeping
145,75001,Training Restricted Boltzmann Machine by Perturbation;A Generalized Loop Correction Method for Approximate Inference in Graphical Models
151,72581,Bounding Search Space Size via (Hyper)tree Decompositions
151,75901,Studies in Lower Bounding Probabilities of Evidence using the Markov Inequality;Cutset Sampling with Likelihood Weighting;Modeling Transportation Routines using Hybrid Dynamic Mixed Networks
151,75933,AND/OR Multi-Valued Decision Diagrams (AOMDDs) for Weighted Graphical Models;The Relationship Between AND/OR Search and Variable Elimination;AND/OR Multi-Valued Decision Diagrams (AOMDDs) for Graphical Models;Join-Graph Propagation Algorithms
151,81188,Modeling Transportation Routines using Hybrid Dynamic Mixed Networks
151,81187,Modeling Transportation Routines using Hybrid Dynamic Mixed Networks
151,31152,Exchangeable Variable Models;Learning Arithmetic Circuits;Formula-Based Probabilistic Inference;Sum-Product Networks: A New Deep Architecture;Probabilistic Theorem Proving;Approximation by Quantization
151,31151,Studies in Lower Bounding Probabilities of Evidence using the Markov Inequality;AND/OR Importance Sampling;Probabilistic Theorem Proving;Join-Graph Propagation Algorithms;Approximate Inference Algorithms for Hybrid Bayesian Networks with Discrete Constraints;Approximation by Quantization;Formula-Based Probabilistic Inference;Modeling Transportation Routines using Hybrid Dynamic Mixed Networks
151,21016,Learning Performance of Prediction Markets with Kelly Bettors
151,31205,AND/OR Multi-Valued Decision Diagrams (AOMDDs) for Graphical Models;Best-First AND/OR Search for Most Probable Explanations;Order-of-Magnitude Influence Diagrams
151,81222,A Scheme for Approximating Probabilistic Inference;Efficient Test Selection in Active Diagnosis via Entropy Approximation
151,100204,Hybrid Processing of Beliefs and Constraints
151,81221,Efficient Test Selection in Active Diagnosis via Entropy Approximation
151,21014,Efficient Test Selection in Active Diagnosis via Entropy Approximation;Learning Performance of Prediction Markets with Kelly Bettors
151,21015,Resourceful Contextual Bandits;Taming the Monster: A Fast and Simple Algorithm for Contextual Bandits;Logarithmic Time Online Multiclass prediction;Proceedings of the 29th International Conference on Machine Learning (ICML-12);Predicting Conditional Quantiles via Reduction to Classification;Learning Performance of Prediction Markets with Kelly Bettors;Efficient programmable learning to search;Contextual Bandit Learning with Predictable Rewards
151,46259,Join-Graph Propagation Algorithms;BEEM : Bucket Elimination with External Memory
151,46260,Hybrid Processing of Beliefs and Constraints;A Scheme for Approximating Probabilistic Inference;AND/OR Multi-Valued Decision Diagrams (AOMDDs) for Weighted Graphical Models;AND/OR Multi-Valued Decision Diagrams (AOMDDs) for Graphical Models;Join-Graph Propagation Algorithms;Modeling Transportation Routines using Hybrid Dynamic Mixed Networks;Bounding Search Space Size via (Hyper)tree Decompositions;Best-First AND/OR Search for Most Probable Explanations;Approximate Inference Algorithms for Hybrid Bayesian Networks with Discrete Constraints;The Relationship Between AND/OR Search and Variable Elimination;AND/OR Importance Sampling;BEEM : Bucket Elimination with External Memory;Cutset Sampling with Likelihood Weighting;Studies in Lower Bounding Probabilities of Evidence using the Markov Inequality
151,46261,BEEM : Bucket Elimination with External Memory;A Graphical Transformation for Belief Propagation: Maximum Weight Matchings and Odd-Sized Cycles
151,72564,Learning Arithmetic Circuits
153,75949,Adjacency-Faithfulness and Conservative Causal Inference;A Transformational Characterization of Markov Equivalence for Directed Acyclic Graphs with Latent Variables;A Characterization of Markov Equivalence Classes for Directed Acyclic Graphs with Latent Variables
153,100220,Location-Based Reasoning about Complex Multi-Agent Behavior;A Bayesian Approach to Tackling Hard Computational Problems
153,72555,Discovering Cyclic Causal Models by Independent Components Analysis;Upper-Bounding Proof Length with the Busy Beaver;Causal discovery of linear acyclic models with arbitrary distributions
153,31176,Estimating a Causal Order among Groups of Variables in Linear Models;Discovery of non-gaussian linear causal models using ICA;Discovering Cyclic Causal Models by Independent Components Analysis;Causal discovery of linear acyclic models with arbitrary distributions;Bayesian Discovery of Linear Acyclic Causal Models;Noisy-OR Models with Latent Confounding
153,31120,Laplace's Method Approximations for Probabilistic Inference in Belief Networks with Continuous Variables;Evaluating influence diagrams with decision circuits;End-User Construction of Influence Diagrams for Bayesian Statistics;Sensitivity analysis in decision circuits;Structural Controllability and Observability in Influence Diagrams;Using Potential Influence Diagrams for Probabilistic Inference and Decision Making;Strictly Proper Mechanisms with Cooperating Players;Mixtures of Gaussians and Minimum Relative Entropy Techniques for Modeling Continuous Uncertainties;A Linear Approximation Method for Probabilistic Inference;Three new sensitivity analysis methods for influence diagrams;Directed Reduction Algorithms and Decomposable Graphs;Three Approaches to Probability Model Selection;A Graph-Based Inference Method for Conditional Independence;Efficient Value of Information Computation;Decision Making Using Probabilistic Inference Methods;Global Conditioning for Probabilistic Inference in Belief Networks;Dynamic programming in in uence diagrams with decision circuits;A Decision-Based View of Causality
153,75939,Survey Propagation Revisited
153,46220,Dynamic programming in in uence diagrams with decision circuits;Sensitivity analysis in decision circuits;Evaluating influence diagrams with decision circuits;Three new sensitivity analysis methods for influence diagrams
153,46242,Playing games against nature: optimal policies for renewable resource allocation
153,46243,Maximizing the Spread of Cascades Using Network Design;Playing games against nature: optimal policies for renewable resource allocation
153,46244,On the Erdos Discrepancy Problem;Algorithm Portfolio Design: Theory vs. Practice;A Bayesian Approach to Tackling Hard Computational Problems;Maximizing the Spread of Cascades Using Network Design;Playing games against nature: optimal policies for renewable resource allocation
153,72595,Importance Sampling via Variational Optimization;Inference for Multiplicative Models
153,75940,Reformulating Inference Problems Through Selective Conditioning;A Bayesian Approach to Tackling Hard Computational Problems;Time-Dependent Utility and Action Under Uncertainty;An Approximate Nonmyopic Computation for Value of Information;Utility-Based Abstraction and Categorization;Time-Critical Reasoning: Representations and Application;Perception, Attention, and Resources: A Decision-Theoretic Approach to Graphics Rendering;Ideal Reformulation of Belief Networks;Conversation as Action Under Uncertainty;Reasoning about the Value of Decision-Model Refinement: Methods and Application;Problem Formulation as the Reduction of a Decision Model;Collaborative Filtering by Personality Diagnosis: A Hybrid Memory- and Model-Based Approach;On Discarding, Caching, and Recalling Samples in Active Learning;A Synthesis of Logical and Probabilistic Reasoning for Program Understanding and Debugging;Dynamic Network Models for Forecasting
153,46245,Playing games against nature: optimal policies for renewable resource allocation;On the Erdos Discrepancy Problem;Understanding Sampling Style Adversarial Search Methods;Synthesizing Manipulation Sequences for Under-Specified Tasks using Unrolled Markov Random Fields;A Bayesian Approach to Tackling Hard Computational Problems;Algorithm Portfolio Design: Theory vs. Practice;Survey Propagation Revisited
153,46311,Maximizing the Spread of Cascades Using Network Design;Understanding Sampling Style Adversarial Search Methods;Survey Propagation Revisited
153,47496,Understanding Sampling Style Adversarial Search Methods
153,54871,A Bayesian Approach to Learning Bayesian Networks with Local Structure;Learning Bayesian Networks: The Combination of Knowledge and Statistical Data;Advances in Probabilistic Reasoning;A New Look at Causal Independence;Similarity Networks for the Construction of Multiple-Faults Belief Networks;Separable and transitive graphoids;Determining the Number of Non-Spurious Arcs in a Learned DAG Model: Investigation of a Bayesian and a Frequentist Approach;A powerful and efficient set test for genetic markers that handles confounders;An Empirical Comparison of Three Inference Methods;Structure and Parameter Learning for Causal Independence and Causal Interaction Models;Dependency Networks for Collaborative Filtering and Data Visualization;Models and Selection Criteria for Regression and Classification;An Approximate Nonmyopic Computation for Value of Information;Problem Formulation as the Reduction of a Decision Model;A Combination of Cutset Conditioning with Clique-Tree Propagation in the Pathfinder System;A Decision-Based View of Causality;Inference Algorithms for Similarity Networks;Diagnosis of Multiple Faults: A Sensitivity Analysis;Addendum on the scoring of Gaussian directed acyclic graphical models;Continuous Time Dynamic Topic Models;A Decision Theoretic Approach to Targeted Advertising;Learning Gaussian Networks;Causal Independence for Knowledge Acquisition and Inference
153,72553,Adjacency-Faithfulness and Conservative Causal Inference;Detecting Causal Relations in the Presence of Unmeasured Variables;A Transformational Characterization of Markov Equivalence for Directed Acyclic Graphs with Latent Variables;Semi-Instrumental Variables: A Test for Instrument Admissibility;Causal discovery of linear acyclic models with arbitrary distributions;A theoretical study of Y structures for causal discovery;Discovering Cyclic Causal Models by Independent Components Analysis
153,72554,Adjacency-Faithfulness and Conservative Causal Inference;Causal discovery of linear acyclic models with arbitrary distributions;Discovering Cyclic Causal Models by Independent Components Analysis
153,78658,A theoretical study of Y structures for causal discovery
153,78659,Kutato: An Entropy-Driven System for Construction of Probabilistic Expert Systems from Databases;A Bayesian Method for Constructing Bayesian Belief Networks from Databases;A Bayesian Method for Causal Modeling and Discovery Under Selection;An Empirical Analysis of Likelihood-Weighting Simulation on a Large, Multiply-Connected Belief Network;A Method for Using Belief Networks as Influence Diagrams;A Randomized Approximation Algorithm of Logic Sampling;KNET: Integrating Hypermedia and Bayesian Modeling;A Structurally and Temporally Extended Bayesian Belief Network Model: Definitions, Properties, and Modeling Techniques;An Evaluation of an Algorithm for Inductive Learning of Bayesian Belief Networks Usin;A theoretical study of Y structures for causal discovery;A Combination of Cutset Conditioning with Clique-Tree Propagation in the Pathfinder System;Binary Classifier Calibration: Bayesian Non-Parametric Approach;Counting Markov Blanket Structures
153,100219,A Bayesian Approach to Tackling Hard Computational Problems
153,100221,Using Temporal Data for Making Recommendations;A Bayesian Approach to Tackling Hard Computational Problems;A Decision Theoretic Approach to Targeted Advertising;Dependency Networks for Collaborative Filtering and Data Visualization;A Bayesian Approach to Learning Bayesian Networks with Local Structure;Learning Bayesian Networks: The Combination of Knowledge and Statistical Data
153,101883,Approximation Algorithms for the Loop Cutset Problem;Perfect Tree-Like Markovian Distributions
153,101895,Dependency Networks for Collaborative Filtering and Data Visualization
153,101896,Dependency Networks for Collaborative Filtering and Data Visualization;Rational Nonmonotonic Reasoning
153,101908,Conversation as Action Under Uncertainty
153,103918,Inference in Multiply Sectioned Bayesian Networks with Extended Shafer-Shenoy and Lazy Propagation;Time-Critical Dynamic Decision Making
153,103919,Reasoning about the Value of Decision-Model Refinement: Methods and Application;Probabilistic Conceptual Network: A Belief Representation Scheme for Utility-Based Categorization;Directed Reduction Algorithms and Decomposable Graphs;Time-Critical Dynamic Decision Making
153,105242,Kutato: An Entropy-Driven System for Construction of Probabilistic Expert Systems from Databases;A Bayesian Method for Constructing Bayesian Belief Networks from Databases;Ergo: A Graphical Environment for Constructing Bayesian
153,105251,Ergo: A Graphical Environment for Constructing Bayesian
153,105253,A Randomized Approximation Algorithm of Logic Sampling;KNET: Integrating Hypermedia and Bayesian Modeling
153,105270,Directed Reduction Algorithms and Decomposable Graphs;Global Conditioning for Probabilistic Inference in Belief Networks
153,105275,A Combination of Cutset Conditioning with Clique-Tree Propagation in the Pathfinder System
153,105308,An Empirical Analysis of Likelihood-Weighting Simulation on a Large, Multiply-Connected Belief Network;Diagnosis of Multiple Faults: A Sensitivity Analysis
153,135509,Perception, Attention, and Resources: A Decision-Theoretic Approach to Graphics Rendering
153,135510,Time-Critical Reasoning: Representations and Application
153,137766,An Evaluation of an Algorithm for Inductive Learning of Bayesian Belief Networks Usin;A Structurally and Temporally Extended Bayesian Belief Network Model: Definitions, Properties, and Modeling Techniques
153,140312,Probabilistic Constraint Satisfaction with Non-Gaussian Noise
153,140313,Probabilistic Constraint Satisfaction with Non-Gaussian Noise;Mixtures of Gaussians and Minimum Relative Entropy Techniques for Modeling Continuous Uncertainties;Three Approaches to Probability Model Selection
153,140314,Probabilistic Constraint Satisfaction with Non-Gaussian Noise
153,140316,Laplace's Method Approximations for Probabilistic Inference in Belief Networks with Continuous Variables
153,140364,Global Conditioning for Probabilistic Inference in Belief Networks
153,142865,End-User Construction of Influence Diagrams for Bayesian Statistics
153,142868,Additive Belief-Network Models;Forecasting Sleep Apnea with Dynamic Network Models;Dynamic Network Models for Forecasting;Reformulating Inference Problems Through Selective Conditioning
153,142869,Dynamic Network Models for Forecasting;Forecasting Sleep Apnea with Dynamic Network Models;Additive Belief-Network Models
153,142875,Utility-Based Abstraction and Categorization
153,142883,A Synthesis of Logical and Probabilistic Reasoning for Program Understanding and Debugging
153,142892,Using Potential Influence Diagrams for Probabilistic Inference and Decision Making
153,146667,Structural Controllability and Observability in Influence Diagrams
153,146689,Decision Making Using Probabilistic Inference Methods
153,147035,Time-Dependent Utility and Action Under Uncertainty
153,140311,A Probabilistic Algorithm for Calculating Structure: Borrowing from Simulated Annealing;Probabilistic Constraint Satisfaction with Non-Gaussian Noise
153,72596,Inference for Multiplicative Models;A Bayesian Approach to Learning Bayesian Networks with Local Structure;Using Temporal Data for Making Recommendations;Structure and Parameter Learning for Causal Independence and Causal Interaction Models;Models and Selection Criteria for Regression and Classification;Perfect Tree-Like Markovian Distributions;Dependency Networks for Collaborative Filtering and Data Visualization
156,58586,Mean Field Variational Approximation for Continuous-Time Bayesian Networks;Continuous Time Markov Networks;Gibbs Sampling in Factorized Continuous-Time Markov Processes;Incorporating Expressive Graphical Models in Variational Approximations: Chain-Graphs and Hidden Variables
156,46317,Modeling Events with Cascades of Poisson Processes;CT-NOR: Representing and Reasoning About Events in Continuous Time
156,46326,Bayesian Model Averaging Using the k-best Bayesian Network Structures;Generating Markov Equivalent Maximal Ancestral Graphs by Single Edge Replacement;Probabilities of Causation: Bounds and Identification;A Branch-and-Bound Algorithm for MDL Learning Bayesian Networks;Causal Discovery from Changes;Local Markov Property for Models Satisfying Composition Axiom;Polynomial Constraints in Causal Bayesian Networks;Inequality Constraints in Causal Models with Hidden Variables;Identifying Dynamic Sequential Plans;Computing Posterior Probabilities of Structural Features in Bayesian Networks
156,58537,Convexifying the Bethe Free Energy;Template Based Inference in Symmetric Relational Markov Random Fields
156,31168,Convergent message passing algorithms - a unifying view;Tightening LP Relaxations for MAP using Message Passing;Convergent Propagation Algorithms via Oriented Trees;Discriminative Learning via Semidefinite Probabilistic Models;What Cannot be Learned with Bethe Approximations;Learning the Experts for Online Sequence Prediction;Convexifying the Bethe Free Energy
156,31242,An Efficient Algorithm for Computing Interventional Distributions in Latent Variable Causal Models;Effects of Treatment on the Treated: Identification and Generalization;Counterfactual Graphical Models for Longitudinal Mediation Analysis with Unobserved Confounding;Identification of Conditional Interventional Distributions;On the Validity of Covariate Adjustment for Estimating Causal Effects
156,46288,Confounding Equivalence in Causal Inference;On Testing Whether an Embedded Bayesian Network Represents a Probability Model;An Algorithm for Deciding if a Set of Observed Independencies Has a Causal Explanation;Deciding Morality of Graphs is NP-complete;Direct and Indirect Effects;A Probabilistic Calculus of Actions;Identification of Conditional Interventional Distributions;Reasoning With Qualitative Probabilities Can Be Tractable;On the Equivalence of Causal Models;Causal Discovery from Changes;On a Class of Bias-Amplifying Variables that Endanger Effect Estimates;Effects of Treatment on the Treated: Identification and Generalization;From Conditional Oughts to Qualitative Decision Theory;Causes and Explanations: A Structural-Model Approach --- Part 1: Causes;Probabilities of Causation: Bounds and Identification;On the Logic of Causal Models;On Measurement Bias in Causal Inference;Counterfactual Probabilities: Computational Methods, Bounds and Applications;Graphical Condition for Identification in recursive SEM
156,46289,On Testing Whether an Embedded Bayesian Network Represents a Probability Model;Confounding Equivalence in Causal Inference
156,58528,Rao-Blackwellised Particle Filtering for Dynamic Bayesian Networks;Group Sparse Priors for Covariance Estimation;Modeling Discrete Interventional Data using Directed Cyclic Graphical Models;The Factored Frontier Algorithm for Approximate Inference in DBNs;Bayesian structure learning using dynamic programming and MCMC
156,58538,Convexifying the Bethe Free Energy;Template Based Inference in Symmetric Relational Markov Random Fields
156,58539,Incorporating Expressive Graphical Models in Variational Approximations: Chain-Graphs and Hidden Variables;Image Segmentation in Video Sequences: A Probabilistic Approach;Template Based Inference in Symmetric Relational Markov Random Fields;Sequential Update of Bayesian Network Structure;Convexifying the Bethe Free Energy;Mean Field Variational Approximation for Continuous-Time Bayesian Networks;Multivariate Information Bottleneck;Continuous Time Markov Networks;Gaussian Process Networks;Gibbs Sampling in Factorized Continuous-Time Markov Processes;Learning the Dimensionality of Hidden Variables;Being Bayesian about Network Structure;Dimension Reduction in Singularly Perturbed Continuous-Time Bayesian Networks;Likelihood Computations Using Value Abstractions
156,58540,Tightening LP Relaxations for MAP using Message Passing;MAP Estimation, Linear Programming and Belief Propagation with Convex Free Energies;Convergent message passing algorithms - a unifying view
156,58541,The Factored Frontier Algorithm for Approximate Inference in DBNs;Latent Topic Models for Hypertext;MAP Estimation, Linear Programming and Belief Propagation with Convex Free Energies;Tightening LP Relaxations for MAP using Message Passing;Convergent message passing algorithms - a unifying view
156,58585,Mean Field Variational Approximation for Continuous-Time Bayesian Networks
156,58587,Dimension Reduction in Singularly Perturbed Continuous-Time Bayesian Networks;Gibbs Sampling in Factorized Continuous-Time Markov Processes;Mean Field Variational Approximation for Continuous-Time Bayesian Networks;Continuous Time Markov Networks;Metric Description of Defects in Amorphous Materials
156,72573,CT-NOR: Representing and Reasoning About Events in Continuous Time;Sequential Update of Bayesian Network Structure;On the Relation between Kappa Calculus and Probabilistic Reasoning;Action Networks: A Framework for Reasoning about Actions and Change under Uncertainty;Reasoning With Qualitative Probabilities Can Be Tractable;Making life better one large system at a time: Challenges for UAI research
156,75941,Inequality Constraints in Causal Models with Hidden Variables;Polynomial Constraints in Causal Bayesian Networks;Local Markov Property for Models Satisfying Composition Axiom
156,72574,CT-NOR: Representing and Reasoning About Events in Continuous Time
156,72575,CT-NOR: Representing and Reasoning About Events in Continuous Time
156,72576,CT-NOR: Representing and Reasoning About Events in Continuous Time
156,72577,CT-NOR: Representing and Reasoning About Events in Continuous Time
156,72578,CT-NOR: Representing and Reasoning About Events in Continuous Time
156,75953,Perfect Tree-Like Markovian Distributions;Importance Sampling via Variational Optimization;Learning Gaussian Networks;On the Logic of Causal Models;Learning Bayesian Networks: The Combination of Knowledge and Statistical Data;Inference Algorithms for Similarity Networks;Likelihood Computations Using Value Abstractions;On Testing Whether an Embedded Bayesian Network Represents a Probability Model;Advances in Probabilistic Reasoning;Separable and transitive graphoids;An Entropy-based Learning Algorithm of Bayesian Conditional Trees;Approximation Algorithms for the Loop Cutset Problem
156,75954,MAP Estimation, Linear Programming and Belief Propagation with Convex Free Energies
156,78626,Graphical Condition for Identification in recursive SEM
156,101890,Likelihood Computations Using Value Abstractions
156,101891,Gaussian Process Networks
156,105268,An Algorithm for Deciding if a Set of Observed Independencies Has a Causal Explanation;On the Equivalence of Causal Models;Deciding Morality of Graphs is NP-complete
156,140317,Counterfactual Probabilities: Computational Methods, Bounds and Applications
256,101534,On reasoning in networks with qualitative uncertainty;Re-entrant Structural Phase Transition in a Frustrated Kagome Magnet, Rb2SnCu3F12;Pivotal Pruning of Trade-offs in QPNs;Risk Agoras: Dialectical Argumentation for Scientific Reasoning;Local structure correlations in plastic cyclohexane - a Reverse Monte Carlo study
256,146683,aHUGIN: A System Creating Adaptive Causal Probabilistic Networks
256,100197,Pre-processing for Triangulation of Probabilistic Networks
256,100198,Pre-processing for Triangulation of Probabilistic Networks
256,100236,Solving Influence Diagrams using HUGIN, Shafer-Shenoy and Lazy Propagation;Evaluating Influence Diagrams using LIMIDs
256,100259,Enhancing QPNs for Trade-off Resolution;Pivotal Pruning of Trade-offs in QPNs;Analysing Sensitivity Data from Probabilistic Networks;How to Elicit Many Probabilities
